,Unnamed: 0,year,dur_stay,mode,purpose
529,529,2017,15+  nights,Air,Miscellaneous
530,530,2017,15+  nights,Tunnel,Holiday
531,531,2017,1-3  nights,Air,Holiday
532,532,2017,1-3  nights,Air,Business
533,533,2017,1-3  nights,Tunnel,Holiday
534,534,2017,4-7  nights,Air,Holiday
535,535,2017,8-14 nights,Air,Holiday
536,536,2017,8-14 nights,Air,Study
537,537,2017,15+  nights,Air,Holiday
538,538,2017,1-3  nights,Air,Holiday
539,539,2017,1-3  nights,Air,Business
540,540,2017,1-3  nights,Air,Miscellaneous
541,541,2017,1-3  nights,Sea,Holiday
542,542,2017,4-7  nights,Air,Holiday
543,543,2017,4-7  nights,Air,Business
544,544,2017,4-7  nights,Tunnel,Holiday
545,545,2017,8-14 nights,Air,Holiday
546,546,2017,8-14 nights,Air,Business
547,547,2017,8-14 nights,Air,VFR
548,548,2017,15+  nights,Air,Holiday
549,549,2017,15+  nights,Air,VFR
550,550,2017,15+  nights,Air,Miscellaneous
551,551,2017,1-3  nights,Air,Holiday
552,552,2017,1-3  nights,Air,Business
553,553,2017,1-3  nights,Air,Miscellaneous
554,554,2017,1-3  nights,Sea,Holiday
555,555,2017,1-3  nights,Tunnel,Holiday
556,556,2017,4-7  nights,Air,Holiday
557,557,2017,4-7  nights,Air,Business
558,558,2017,4-7  nights,Air,VFR
559,559,2017,4-7  nights,Tunnel,Holiday
560,560,2017,8-14 nights,Air,Holiday
561,561,2017,8-14 nights,Air,Business
562,562,2017,8-14 nights,Air,Miscellaneous
563,563,2017,15+  nights,Air,Holiday
564,564,2017,15+  nights,Air,Business
565,565,2017,15+  nights,Air,VFR
566,566,2017,15+  nights,Air,Study
567,567,2017,1-3  nights,Air,Holiday
568,568,2017,1-3  nights,Air,Business
569,569,2017,1-3  nights,Air,VFR
570,570,2017,1-3  nights,Air,Miscellaneous
571,571,2017,1-3  nights,Tunnel,Holiday
572,572,2017,4-7  nights,Air,Holiday
573,573,2017,4-7  nights,Tunnel,Holiday
574,574,2017,8-14 nights,Air,Holiday
575,575,2017,8-14 nights,Air,VFR
576,576,2017,8-14 nights,Air,Miscellaneous
577,577,2017,8-14 nights,Tunnel,VFR
578,578,2017,15+  nights,Air,VFR
579,579,2017,15+  nights,Air,Study
580,580,2017,15+  nights,Air,Miscellaneous
581,581,2017,1-3  nights,Air,Holiday
582,582,2017,1-3  nights,Air,Business
583,583,2017,1-3  nights,Air,VFR
584,584,2017,1-3  nights,Air,Miscellaneous
585,585,2017,1-3  nights,Sea,Holiday
586,586,2017,4-7  nights,Air,Holiday
587,587,2017,4-7  nights,Air,Business
588,588,2017,4-7  nights,Air,VFR
589,589,2017,4-7  nights,Sea,Holiday
